,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Honda Jazz V,Chennai,2011,46000,1,1,1,13.0,1199.0,88.7,5,861000,450000
1,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,2,2,1,11.36,2755.0,171.5,8,2100000,1750000
2,Maruti Ciaz Zeta,Kochi,2018,25692,1,1,1,21.56,1462.0,103.25,5,1065000,994999
3,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,2,1,1,13.5,2477.0,175.56,7,3201000,1500000
4,BMW 3 Series 320d,Kochi,2014,32982,2,2,1,22.69,1995.0,190.0,5,4787000,1855000
5,Honda WRV i-VTEC VX,Kochi,2018,37430,1,1,1,17.5,1199.0,88.7,5,1057000,990000
6,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,1,1,2,16.09,1598.0,103.5,5,1233000,698000
7,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,2,1,1,24.3,1248.0,88.5,5,1112000,863000
8,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,1,2,1,14.62,1999.0,149.92,5,2364000,885000
9,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,1,1,1,11.25,2694.0,163.7,7,1864000,1095000
10,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,2,1,1,13.68,2393.0,147.8,8,1934000,1650000
11,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,2,2,1,0.0,1950.0,194.0,5,4914000,3567000
12,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,2,1,1,22.1,1396.0,88.7,5,1181000,1050000
13,Nissan Terrano XV D Pre,Kochi,2015,56066,2,1,1,19.64,1461.0,108.5,5,1664999,692000
14,Tata Zest Revotron 1.2T XE,Pune,2017,70000,1,1,1,17.57,1193.0,88.7,5,667000,450000
15,Datsun GO Plus T Petrol,Pune,2017,32851,1,1,1,19.83,1198.0,67.0,7,645000,395000
16,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,1,1,1,17.71,1197.0,78.9,5,641000,390000
17,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,2,2,1,11.36,2755.0,171.5,7,2700000,1925000
18,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,1,1,1,15.1,1196.0,73.0,5,513000,391000
19,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,2,2,1,22.69,1995.0,190.0,5,5443000,2075000
20,Nissan Micra XV CVT,Coimbatore,2016,39882,1,2,1,19.15,1198.0,75.94,5,951000,655000
21,Maruti Vitara Brezza VDi,Mumbai,2016,55000,2,1,1,24.3,1248.0,88.5,5,996000,750000
22,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,2,1,1,22.0,1582.0,126.2,5,1444000,1095000
23,Maruti Alto K10 VXI,Hyderabad,2014,88500,1,1,1,24.07,998.0,67.1,5,453000,260000
24,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,1,2,1,19.0,2996.0,362.07,2,9504000,5400000
25,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,1,2,1,17.0,1591.0,121.3,5,1349000,1150000
26,BMW 3 Series Luxury Line,Mumbai,2014,48000,2,2,1,21.76,1995.0,190.0,5,6088000,2650000
27,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,1,1,1,18.9,1197.0,81.86,5,739000,650000
28,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,2,2,1,22.48,1995.0,190.0,5,6947000,3350000
29,Maruti Baleno Alpha,Kochi,2017,24773,1,1,1,21.4,1197.0,83.1,5,877999,750000
30,Maruti Ertiga ZDI,Mumbai,2016,33000,2,1,1,25.47,1248.0,88.5,7,1274000,850000
31,Mahindra NuvoSport N6,Chennai,2017,29000,2,1,2,17.45,1493.0,100.0,7,1052000,650000
32,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,2,1,1,24.3,1248.0,88.5,5,1198000,900000
33,Honda Amaze S Diesel,Kolkata,2013,45000,2,1,1,27.4,1498.0,98.6,5,853999,325000
